t,s_q,s_a,p_q,p_a,U
1.6722408026755853,137.36452948063726,-0.34512306130294934,-14.003862767287039,0.5041390596223232,139.791741935946
1.6889632107023411,137.1295047789133,-0.33666217204088644,-14.104932731328123,0.5077775783278022,138.03867908895097
1.705685618729097,136.8927979414443,-0.3281407258920019,-14.205045628466749,0.5113816426247928,136.28424977360086
1.7224080267558528,136.65442500611812,-0.31955930022026036,-14.304197463429182,0.5149511086834404,134.5288109275935
1.7391304347826086,136.41440207705895,-0.31091847477413015,-14.402384301327263,0.5184858348477714,132.77271858772195
1.7558528428093645,136.17274532360148,-0.30221883164966196,-14.499602267778455,0.5219856816400144,131.01632781316354
1.7725752508361203,135.9294709792621,-0.29346095525344434,-14.59584754902236,0.525450511764795,129.2599926092403
1.7892976588628762,135.6845953407063,-0.28464543226543565,-14.691116392033758,0.5288801901132053,127.50406585165979
1.806020066889632,135.43813476671286,-0.275772851601672,-14.785405104632146,0.5322745837667474,125.74889921125869
1.8227424749163879,135.1901056771345,-0.2668438043768514,-14.878710055587778,0.5356335620011502,123.99484307925827
1.8394648829431437,134.94052455257682,-0.25785888389277467,-14.971027674675538,0.5389569962883097,122.24224649810115
1.8561872909698995,134.68940793583099,-0.24881868568992457,-15.062354452606838,0.5422447602938366,120.49145710482219
1.8729096989966554,134.43677242557953,-0.23972380732087328,-15.152686941478793,0.5454967298932271,118.74282102095931
1.8896321070234112,134.18263467722323,-0.230574848380046,-15.242021754739518,0.5487127831706131,116.99668279339701
1.906354515050167,133.9270114022247,-0.22137241048009948,-15.330355567249677,0.551892800420979,115.25338532517672
1.923076923076923,133.66991936706643,-0.212117097214401,-15.417685115366348,0.5550366641531792,113.51326980421146
1.9397993311036787,133.4113753922054,-0.20280951411940423,-15.504007197023338,0.5581442590928308,111.77667563261248
1.9565217391304346,133.1513963510253,-0.1934502686369219,-15.589318671807971,0.5612154721850777,110.04394035664839
1.9732441471571907,132.8899991687857,-0.1840399700762957,-15.67361646103434,0.5642501925972271,108.31539959734617
1.9899665551839465,132.62720082156812,-0.17457922957646332,-15.756897547813013,0.5672483117212593,106.59138698174883
2.0066889632107023,132.36301833521975,-0.16506866006792173,-15.839158977117211,0.5702097231762104,104.87223407484424
2.023411371237458,132.09746878429382,-0.1555088762345883,-15.920397855845447,0.573134322810427,103.15827031217735
2.040133779264214,131.8305692909874,-0.14590049447555797,-16.00061135288063,0.5760220087036937,101.44982293315894
2.0568561872909696,131.56233702407633,-0.13624413286675915,-16.079796699145625,0.5788726811692335,99.74721691508535
2.0735785953177257,131.29278919953146,-0.1265404111831445,-16.15795118758459,0.5816862427530363,98.05077491843412
2.0903010033444813,131.02194308218805,-0.11678995095878132,-16.23507217309646,0.5844625982314635,96.36081723890773
2.1070234113712374,130.749815976821,-0.10699337516556806,-16.31115707290941,0.5872016546247298,94.67766169410163
2.123745819397993,130.47642523052798,-0.09715130829902009,-16.386203366477076,0.589903321193166,93.00162358252648
2.140468227424749,130.2017882319882,-0.08726437635158733,-16.460208595502248,0.5925675094380721,91.33301562339436
2.157190635451505,129.92592241040768,-0.0773332067746889,-16.533170363970026,0.5951941331029121,89.67214789521601
2.1739130434782608,129.6488452344628,-0.06735842844067443,-16.60508633817745,0.5977831081743795,88.01932777518915
2.190635451505017,129.37057421124172,-0.05734067160471424,-16.675954246759545,0.600334352883335,86.37485987938867
2.2073578595317724,129.09112688518357,-0.047280567866621645,-16.74577188071175,0.6028477877056145,84.73904600376814
2.2240802675585285,128.8105208370163,-0.03717875013260031,-16.81453709340885,0.6053233353627101,83.1121850659877
2.240802675585284,128.528773682692,-0.027035852576924965,-16.882247800620235,0.60776092082232,81.49457304807376
2.25752508361204,128.24590307232037,-0.01685251060354721,-16.94890198052169,0.6101604712987725,79.88650293992384
2.274247491638796,127.96192668910058,-0.0066293608076346,-17.01449767370353,0.6125219162533188,78.28826468366753
2.290969899665552,127.67686224825059,0.0036329590629652843,-17.079032983175196,0.6148451873942988,76.7001451188904
2.3076923076923075,127.39072749804559,0.01393381007034461,-17.142506074404807,0.6171302186785649,75.12242794031134
2.3244147157190636,127.1035402197846,0.024272552087740124,-17.204915175335607,0.6193769463120736,73.55539364980912
2.341137123745819,126.81531822055642,0.03464854405995493,-17.2662585762674,0.6215853087456183,71.99931947031908
2.3578595317725752,126.52607933537445,0.045061143926505426,-17.326534629905538,0.6237552466765913,70.45447931254182
